year,state,population
2000,United States,282162411
2000,Alabama,4452173
2000,Alaska,627963
2000,Arizona,5160586
2000,Arkansas,2678588
2000,California,33987977
2000,Colorado,4326921
2000,Connecticut,3411777
2000,Delaware,786373
2000,District of Columbia,572046
2000,Florida,16047515
2000,Georgia,8227303
2000,Hawaii,1213519
2000,Idaho,1299430
2000,Illinois,12434161
2000,Indiana,6091866
2000,Iowa,2929067
2000,Kansas,2693681
2000,Kentucky,4049021
2000,Louisiana,4471885
2000,Maine,1277072
2000,Maryland,5311034
2000,Massachusetts,6361104
2000,Michigan,9952450
2000,Minnesota,4933692
2000,Mississippi,2848353
2000,Missouri,5607285
2000,Montana,903773
2000,Nebraska,1713820
2000,Nevada,2018741
2000,New Hampshire,1239882
2000,New Jersey,8430621
2000,New Mexico,1821204
2000,New York,19001780
2000,North Carolina,8081614
2000,North Dakota,642023
2000,Ohio,11363543
2000,Oklahoma,3454365
2000,Oregon,3429708
2000,Pennsylvania,12284173
2000,Rhode Island,1050268
2000,South Carolina,4024223
2000,South Dakota,755844
2000,Tennessee,5703719
2000,Texas,20944499
2000,Utah,2244502
2000,Vermont,609618
2000,Virginia,7105817
2000,Washington,5910512
2000,West Virginia,1807021
2000,Wisconsin,5373999
2000,Wyoming,494300
2001,United States,284968955
2001,Alabama,4467634
2001,Alaska,633714
2001,Arizona,5273477
2001,Arkansas,2691571
2001,California,34479458
2001,Colorado,4425687
2001,Connecticut,3432835
2001,Delaware,795699
2001,District of Columbia,574504
2001,Florida,16356966
2001,Georgia,8377038
2001,Hawaii,1225948
2001,Idaho,1319962
2001,Illinois,12488445
2001,Indiana,6127760
2001,Iowa,2931997
2001,Kansas,2702162
2001,Kentucky,4068132
2001,Louisiana,4477875
2001,Maine,1285692
2001,Maryland,5374691
2001,Massachusetts,6397634
2001,Michigan,9991120
2001,Minnesota,4982796
2001,Mississippi,2852994
2001,Missouri,5641142
2001,Montana,906961
2001,Nebraska,1719836
2001,Nevada,2098399
2001,New Hampshire,1255517
2001,New Jersey,8492671
2001,New Mexico,1831690
2001,New York,19082838
2001,North Carolina,8210122
2001,North Dakota,639062
2001,Ohio,11387404
2001,Oklahoma,3467100
2001,Oregon,3467937
2001,Pennsylvania,12298970
2001,Rhode Island,1057142
2001,South Carolina,4064995
2001,South Dakota,757972
2001,Tennessee,5750789
2001,Texas,21319622
2001,Utah,2283715
2001,Vermont,612223
2001,Virginia,7198362
2001,Washington,5985722
2001,West Virginia,1801481
2001,Wisconsin,5406835
2001,Wyoming,494657
2002,United States,287625193
2002,Alabama,4480089
2002,Alaska,642337
2002,Arizona,5396255
2002,Arkansas,2705927
2002,California,34871843
2002,Colorado,4490406
2002,Connecticut,3458749
2002,Delaware,806169
2002,District of Columbia,573158
2002,Florida,16689370
2002,Georgia,8508256
2002,Hawaii,1239613
2002,Idaho,1340372
2002,Illinois,12525556
2002,Indiana,6155967
2002,Iowa,2934234
2002,Kansas,2713535
2002,Kentucky,4089875
2002,Louisiana,4497267
2002,Maine,1295960
2002,Maryland,5440389
2002,Massachusetts,6417206
2002,Michigan,10015710
2002,Minnesota,5018935
2002,Mississippi,2858681
2002,Missouri,5674825
2002,Montana,911667
2002,Nebraska,1728292
2002,Nevada,2173791
2002,New Hampshire,1269089
2002,New Jersey,8552643
2002,New Mexico,1855309
2002,New York,19137800
2002,North Carolina,8326201
2002,North Dakota,638168
2002,Ohio,11407889
2002,Oklahoma,3489080
2002,Oregon,3513424
2002,Pennsylvania,12331031
2002,Rhode Island,1065995
2002,South Carolina,4107795
2002,South Dakota,760020
2002,Tennessee,5795918
2002,Texas,21690325
2002,Utah,2324815
2002,Vermont,615442
2002,Virginia,7286873
2002,Washington,6052349
2002,West Virginia,1805414
2002,Wisconsin,5445162
2002,Wyoming,500017
2003,United States,290107933
2003,Alabama,4503491
2003,Alaska,648414
2003,Arizona,5510364
2003,Arkansas,2724816
2003,California,35253159
2003,Colorado,4528732
2003,Connecticut,3484336
2003,Delaware,818003
2003,District of Columbia,568502
2003,Florida,17004085
2003,Georgia,8622793
2003,Hawaii,1251154
2003,Idaho,1363380
2003,Illinois,12556006
2003,Indiana,6196638
2003,Iowa,2941999
2003,Kansas,2723004
2003,Kentucky,4117170
2003,Louisiana,4521042
2003,Maine,1306513
2003,Maryland,5496269
2003,Massachusetts,6422565
2003,Michigan,10041152
2003,Minnesota,5053572
2003,Mississippi,2868312
2003,Missouri,5709403
2003,Montana,919630
2003,Nebraska,1738643
2003,Nevada,2248850
2003,New Hampshire,1279840
2003,New Jersey,8601402
2003,New Mexico,1877574
2003,New York,19175939
2003,North Carolina,8422501
2003,North Dakota,638817
2003,Ohio,11434788
2003,Oklahoma,3504892
2003,Oregon,3547376
2003,Pennsylvania,12374658
2003,Rhode Island,1071342
2003,South Carolina,4150297
2003,South Dakota,763729
2003,Tennessee,5847812
2003,Texas,22030931
2003,Utah,2360137
2003,Vermont,617858
2003,Virginia,7366977
2003,Washington,6104115
2003,West Virginia,1812295
2003,Wisconsin,5479203
2003,Wyoming,503453
2004,United States,292805298
2004,Alabama,4530729
2004,Alaska,659286
2004,Arizona,5652404
2004,Arkansas,2749686
2004,California,35574576
2004,Colorado,4575013
2004,Connecticut,3496094
2004,Delaware,830803
2004,District of Columbia,567754
2004,Florida,17415318
2004,Georgia,8769252
2004,Hawaii,1273569
2004,Idaho,1391802
2004,Illinois,12589773
2004,Indiana,6233007
2004,Iowa,2953635
2004,Kansas,2734373
2004,Kentucky,4146101
2004,Louisiana,4552238
2004,Maine,1313688
2004,Maryland,5546935
2004,Massachusetts,6412281
2004,Michigan,10055315
2004,Minnesota,5087713
2004,Mississippi,2889010
2004,Missouri,5747741
2004,Montana,930009
2004,Nebraska,1749370
2004,Nevada,2346222
2004,New Hampshire,1290121
2004,New Jersey,8634561
2004,New Mexico,1903808
2004,New York,19171567
2004,North Carolina,8553152
2004,North Dakota,644705
2004,Ohio,11452251
2004,Oklahoma,3525233
2004,Oregon,3569463
2004,Pennsylvania,12410722
2004,Rhode Island,1074579
2004,South Carolina,4210921
2004,South Dakota,770396
2004,Tennessee,5910809
2004,Texas,22394023
2004,Utah,2401580
2004,Vermont,619920
2004,Virginia,7475575
2004,Washington,6178645
2004,West Virginia,1816438
2004,Wisconsin,5514026
2004,Wyoming,509106
2005,United States,295516599
2005,Alabama,4569805
2005,Alaska,666946
2005,Arizona,5839077
2005,Arkansas,2781097
2005,California,35827943
2005,Colorado,4631888
2005,Connecticut,3506956
2005,Delaware,845150
2005,District of Columbia,567136
2005,Florida,17842038
2005,Georgia,8925922
2005,Hawaii,1292729
2005,Idaho,1428241
2005,Illinois,12609903
2005,Indiana,6278616
2005,Iowa,2964454
2005,Kansas,2745299
2005,Kentucky,4182742
2005,Louisiana,4576628
2005,Maine,1318787
2005,Maryland,5592379
2005,Massachusetts,6403290
2005,Michigan,10051137
2005,Minnesota,5119598
2005,Mississippi,2905943
2005,Missouri,5790300
2005,Montana,940102
2005,Nebraska,1761497
2005,Nevada,2432143
2005,New Hampshire,1298492
2005,New Jersey,8651974
2005,New Mexico,1932274
2005,New York,19132610
2005,North Carolina,8705407
2005,North Dakota,646089
2005,Ohio,11463320
2005,Oklahoma,3548597
2005,Oregon,3613202
2005,Pennsylvania,12449990
2005,Rhode Island,1067916
2005,South Carolina,4270150
2005,South Dakota,775493
2005,Tennessee,5991057
2005,Texas,22778123
2005,Utah,2457719
2005,Vermont,621215
2005,Virginia,7577105
2005,Washington,6257305
2005,West Virginia,1820492
2005,Wisconsin,5546166
2005,Wyoming,514157
2006,United States,298379912
2006,Alabama,4628981
2006,Alaska,675302
2006,Arizona,6029141
2006,Arkansas,2821761
2006,California,36021202
2006,Colorado,4720423
2006,Connecticut,3517460
2006,Delaware,859268
2006,District of Columbia,570681
2006,Florida,18166990
2006,Georgia,9155813
2006,Hawaii,1309731
2006,Idaho,1468669
2006,Illinois,12643955
2006,Indiana,6332669
2006,Iowa,2982644
2006,Kansas,2762931
2006,Kentucky,4219239
2006,Louisiana,4302665
2006,Maine,1323619
2006,Maryland,5627367
2006,Massachusetts,6410084
2006,Michigan,10036081
2006,Minnesota,5163555
2006,Mississippi,2904978
2006,Missouri,5842704
2006,Montana,952692
2006,Nebraska,1772693
2006,Nevada,2522658
2006,New Hampshire,1308389
2006,New Jersey,8661679
2006,New Mexico,1962137
2006,New York,19104631
2006,North Carolina,8917270
2006,North Dakota,649422
2006,Ohio,11481213
2006,Oklahoma,3594090
2006,Oregon,3670883
2006,Pennsylvania,12510809
2006,Rhode Island,1063096
2006,South Carolina,4357847
2006,South Dakota,783033
2006,Tennessee,6088766
2006,Texas,23359580
2006,Utah,2525507
2006,Vermont,622892
2006,Virginia,7673725
2006,Washington,6370753
2006,West Virginia,1827912
2006,Wisconsin,5577655
2006,Wyoming,522667
2007,United States,301231207
2007,Alabama,4672840
2007,Alaska,680300
2007,Arizona,6167681
2007,Arkansas,2848650
2007,California,36250311
2007,Colorado,4803868
2007,Connecticut,3527270
2007,Delaware,871749
2007,District of Columbia,574404
2007,Florida,18367842
2007,Georgia,9349988
2007,Hawaii,1315675
2007,Idaho,1505105
2007,Illinois,12695866
2007,Indiana,6379599
2007,Iowa,2999212
2007,Kansas,2783785
2007,Kentucky,4256672
2007,Louisiana,4375581
2007,Maine,1327040
2007,Maryland,5653408
2007,Massachusetts,6431559
2007,Michigan,10001284
2007,Minnesota,5207203
2007,Mississippi,2928350
2007,Missouri,5887612
2007,Montana,964706
2007,Nebraska,1783440
2007,Nevada,2601072
2007,New Hampshire,1312540
2007,New Jersey,8677885
2007,New Mexico,1990070
2007,New York,19132335
2007,North Carolina,9118037
2007,North Dakota,652822
2007,Ohio,11500468
2007,Oklahoma,3634349
2007,Oregon,3722417
2007,Pennsylvania,12563937
2007,Rhode Island,1057315
2007,South Carolina,4444110
2007,South Dakota,791623
2007,Tennessee,6175727
2007,Texas,23831983
2007,Utah,2597746
2007,Vermont,623481
2007,Virginia,7751000
2007,Washington,6461587
2007,West Virginia,1834052
2007,Wisconsin,5610775
2007,Wyoming,534876
2008,United States,304093966
2008,Alabama,4718206
2008,Alaska,687455
2008,Arizona,6280362
2008,Arkansas,2874554
2008,California,36604337
2008,Colorado,4889730
2008,Connecticut,3545579
2008,Delaware,883874
2008,District of Columbia,580236
2008,Florida,18527305
2008,Georgia,9504843
2008,Hawaii,1332213
2008,Idaho,1534320
2008,Illinois,12747038
2008,Indiana,6424806
2008,Iowa,3016734
2008,Kansas,2808076
2008,Kentucky,4289878
2008,Louisiana,4435586
2008,Maine,1330509
2008,Maryland,5684965
2008,Massachusetts,6468967
2008,Michigan,9946889
2008,Minnesota,5247018
2008,Mississippi,2947806
2008,Missouri,5923916
2008,Montana,976415
2008,Nebraska,1796378
2008,Nevada,2653630
2008,New Hampshire,1315906
2008,New Jersey,8711090
2008,New Mexico,2010662
2008,New York,19212436
2008,North Carolina,9309449
2008,North Dakota,657569
2008,Ohio,11515391
2008,Oklahoma,3668976
2008,Oregon,3768748
2008,Pennsylvania,12612285
2008,Rhode Island,1055003
2008,South Carolina,4528996
2008,South Dakota,799124
2008,Tennessee,6247411
2008,Texas,24309039
2008,Utah,2663029
2008,Vermont,624151
2008,Virginia,7833496
2008,Washington,6562231
2008,West Virginia,1840310
2008,Wisconsin,5640996
2008,Wyoming,546043
2009,United States,306771529
2009,Alabama,4757938
2009,Alaska,698895
2009,Arizona,6343154
2009,Arkansas,2896843
2009,California,36961229
2009,Colorado,4972195
2009,Connecticut,3561807
2009,Delaware,891730
2009,District of Columbia,592228
2009,Florida,18652644
2009,Georgia,9620846
2009,Hawaii,1346717
2009,Idaho,1554439
2009,Illinois,12796778
2009,Indiana,6459325
2009,Iowa,3032870
2009,Kansas,2832704
2009,Kentucky,4317074
2009,Louisiana,4491648
2009,Maine,1329590
2009,Maryland,5730388
2009,Massachusetts,6517613
2009,Michigan,9901591
2009,Minnesota,5281203
2009,Mississippi,2958774
2009,Missouri,5961088
2009,Montana,983982
2009,Nebraska,1812683
2009,Nevada,2684665
2009,New Hampshire,1316102
2009,New Jersey,8755602
2009,New Mexico,2036802
2009,New York,19307066
2009,North Carolina,9449566
2009,North Dakota,664968
2009,Ohio,11528896
2009,Oklahoma,3717572
2009,Oregon,3808600
2009,Pennsylvania,12666858
2009,Rhode Island,1053646
2009,South Carolina,4589872
2009,South Dakota,807067
2009,Tennessee,6306019
2009,Texas,24801761
2009,Utah,2723421
2009,Vermont,624817
2009,Virginia,7925937
2009,Washington,6667426
2009,West Virginia,1847775
2009,Wisconsin,5669264
2009,Wyoming,559851
2010,United States,309349689
2010,Alabama,4785298
2010,Alaska,713985
2010,Arizona,6413737
2010,Arkansas,2921606
2010,California,37349363
2010,Colorado,5049071
2010,Connecticut,3577073
2010,Delaware,899769
2010,District of Columbia,604453
2010,Florida,18843326
2010,Georgia,9712587
2010,Hawaii,1363621
2010,Idaho,1571450
2010,Illinois,12843166
2010,Indiana,6490621
2010,Iowa,3049883
2010,Kansas,2859169
2010,Kentucky,4346266
2010,Louisiana,4544228
2010,Maine,1327567
2010,Maryland,5785982
2010,Massachusetts,6557254
2010,Michigan,9877574
2010,Minnesota,5310584
2010,Mississippi,2970036
2010,Missouri,5996231
2010,Montana,990898
2010,Nebraska,1830429
2010,Nevada,2704642
2010,New Hampshire,1316759
2010,New Jersey,8801624
2010,New Mexico,2065932
2010,New York,19392283
2010,North Carolina,9561558
2010,North Dakota,674499
2010,Ohio,11536182
2010,Oklahoma,3761702
2010,Oregon,3838957
2010,Pennsylvania,12709630
2010,Rhode Island,1052886
2010,South Carolina,4636312
2010,South Dakota,816463
2010,Tennessee,6356897
2010,Texas,25257114
2010,Utah,2776469
2010,Vermont,625960
2010,Virginia,8024617
2010,Washington,6744496
2010,West Virginia,1853973
2010,Wisconsin,5691047
2010,Wyoming,564460
